Ecosystem Indicators,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"S. copepod biomass anom.
(mg C m-3; May-Sept)",0.579437386,-0.251092392,-0.227158244,-0.235060207,-0.250737614,0.069272201,0.183649978,0.526279978,0.051312052,-0.091337244,-0.253307985,-0.205372244,0.186769978,-0.160653874,-0.20530854,-0.221561133,-0.037629651,0.395019423,0.483628867,0.296870349,-0.017200392,0.104618126,-0.16283817,-0.235057429,-0.234253725,-0.173955355,-0.065922985
"Biological transition
(day of year)",--,134,102,101,120,156,146,238,150,89,64,65,169,82,125,91,91,--,--,193,149,156,97,106,83,148,158
"Nearshore Ichthyoplankton
Log(mg C 1,000 m-3; Jan-Mar)",0.475363554,1.617104234,0.965713018,0.907882804,1.927602639,0.397842103,0.320663443,0.499162835,1.147903397,0.477882279,1.620314442,0.621419531,1.882055466,1.214967117,1.537703506,1.084747242,0.457597082,0.523810415,0.495339944,0.63950245,1.130309631,0.464467389,1.258143023,1.368983789,0.730376197,1.33725572,0.19967999
Nearshore/offshore Ichthyoplankton community index (PCO axis 1 scores; Jan-Mar),-11.697,-24.776,-30.511,-21.797,-16.977,-6.9939,15.638,32.21,-37.33,5.931,-32.714,-5.8799,11.09,-28.448,-33.906,-17.765,-17.498,28.739,32.581,36.012,26.027,31.262,11.445,2.3336,-0.20491,10.981,42.247
"Chinook salmon juvenile
catches Log (no. km-1; June)",0.093825728,0.286233844,0.224826285,0.121911142,0.232924556,0.203889901,0.148782189,0.058986013,0.166236072,0.178550709,0.433820641,0.220371748,0.244981841,0.156978344,0.28558552,0.245028016,0.215681243,0.150802458,0.105469309,0.024850598,0.117720211,0.159156352,0.087455129,0.177739836,0.183660293,0.148094662,0.172070143
"Coho salmon juvenile
catches Log (no. km-1; June)",0.076816018,0.28379575,0.237041608,0.435876145,0.416773386,0.427616359,0.215660231,0.074288827,0.254735149,0.467910285,0.447687517,0.327808381,0.310553279,0.25196194,0.261876137,0.489538078,0.302656595,0.255805459,0.256608329,0.068666,0.459595562,0.257534021,0.235651332,0.275534093,0.377613439,0.438343163,0.445413327
Mean of Ranks,23,7.8125,9.375,9.8125,7.8125,17.125,20.625,21.5,13.875,12.125,3.9375,11.0625,15.1875,9,7.4375,10.25,16.0625,22.5625,22.375,20.625,15.125,19.375,14.9375,7.125,12.3125,11.6875,15.4375
Rank of the mean ranks,27,4,7,8,4,20,22,24,14,12,1,10,17,6,3,9,19,26,25,22,16,21,15,2,13,11,18
Principal Component scores (PC1),5.488336708,-2.83522631,-2.410334064,-1.818219781,-2.711766267,1.114984855,2.3840387,4.077446427,-0.279773162,-0.705702214,-4.760645413,-1.473766233,0.096874866,-2.407484786,-3.053714246,-1.968108673,0.384806938,5.327710166,5.470062305,3.341776228,0.167806714,2.248033454,-0.084501522,-2.857029469,-1.504256398,-1.524052015,0.292703193
Principal Component scores (PC2),0.189305954,-0.866630713,0.364044303,-1.090638871,-2.252078692,-0.898269127,2.097256904,-0.52742989,-1.819857905,-0.377197255,-2.235073937,0.455517738,-1.474372605,0.419439623,-0.194628769,0.969866462,2.870997033,-1.518524975,-2.299653307,-0.849496335,0.178475125,1.969080476,3.176837453,-0.927788876,2.69659302,0.980764427,0.963462737
Ecosystem Indicators not included in the mean of ranks or statistical analyses,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Physical Spring Trans.
UI based (day of year)",83,88,134,120,84,109,113,142,109,70,87,82,95,105,123,97,129,103,86,116,105,109,94,81,161,114,87
Physical Spring Trans. Hydrographic (day of year),187,119,142,129,120,141,157,209,123,136,102,136,169,119,140,106,162,124,164,179,157,156,178,106,178,148,141
"Upwelling Anomaly
(Sum April-May)",-14,19,-36,2,-12,-34,-27,-55,-14,9,0,-5,-35,-36,-35,-21,-37,50,28,-45,8,14,-27,30,-59,-25,19
"Length of Upwelling Season
UI based (days)",191,205,151,173,218,168,177,129,195,201,179,201,161,153,161,163,133,175,186,172,189,178,157,178,133,150,
"Copepod Community Index
(MDS axis 1 scores; May-Sept)",0.651183838,-0.920374398,-0.872172174,-0.835005998,-0.933178414,-0.236325162,-0.262427833,0.497990164,-0.112759297,-0.705830997,-0.966560654,-0.862962833,-0.300774665,-0.716882403,-0.85981766,-0.904173663,-0.46837033,0.427126835,0.759830003,0.36101666,-0.347710333,-0.242009,-0.650429997,-0.94671699,-0.917917013,-0.814932682,-0.558129329
